"","city","V1","POPESTIMATE2014","Airpc"
"10","San Francisco",5641,852469,6.61724942490577
"6","New Orleans",2115,384320,5.50322647793505
"12","Washington",2855,658893,4.33302524082059
"8","Portland",2227,619360,3.59564711960734
"1","Austin",3179,912791,3.48272496113568
"11","Seattle",2318,668342,3.46828420180087
"4","Los Angeles",12700,3928864,3.23248654063872
"2","Boston",2068,655884,3.15299656646602
"7","New York",22255,8491079,2.62098609611334
"5","Nashville",1686,644014,2.61795551028394
"9","San Diego",2484,1381069,1.79860673145223
"3","Chicago",4114,2722389,1.51117272366293
