id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5278048,Comfortable 2 bd 2 bath soco!,25958385,Ashwin,,78704,30.254885824164205,-97.74677394508682,Entire home/apt,425,1,1,2015-03-19,0.5,1,365
140651,4BR/2BA Sleeps 12 Walk to Soco,684923,Jason,,78704,30.246474685889524,-97.74269377586785,Entire home/apt,574,1,18,2015-03-30,0.4,1,356
1920342,Comfortable Haven; Walk Downtown,88309,Shannon,,78704,30.25605202082104,-97.75517234902347,Private room,150,2,10,2015-03-18,0.7,2,363
333815,Solar Sanctuary - Zen Room,372962,Kim,,78704,30.253328156321977,-97.75229756255722,Private room,99,1,64,2015-05-19,1.7,3,331
846780,deco chic 2/1 cottage - zilker/sola,4421865,Tina,,78704,30.249433410661197,-97.76778859612604,Entire home/apt,185,2,56,2015-04-27,2.0,1,336
983530,Garden Hide Away - Great Value,1488733,Brooke,,78704,30.231587312210742,-97.78313865735846,Entire home/apt,130,3,27,2015-05-17,1.0,19,331
5143930,SXSW Room with Queen Bed and Bath,3914620,Andrew,,78704,30.231220406871742,-97.78317025179726,Private room,185,1,0,,,2,365
701032,Cozy Home for your Austin Visit!,3596874,Gabriel,,78704,30.24051488346731,-97.74039891250015,Entire home/apt,139,1,2,2013-03-18,0.1,1,145
1750299,3/3  available for 2nd ACL weekend,9167500,Allen,,78704,30.24001974937825,-97.76664763172836,Entire home/apt,500,1,0,,,2,363
319894,The Perfect Modern Austin Home,1640172,Gary,,78724,30.284133563700074,-97.6492670382323,Entire home/apt,289,2,2,2013-10-01,0.1,1,364
5581365,SXSW Studio Apartment,28937981,Jimmy,,78741,30.24093786451036,-97.7231395180933,Entire home/apt,150,1,0,,,1,51
964021,Enjoy Austin in Old Enfield Casita,5254049,Marie,,78703,30.281940240658646,-97.75571118460063,Entire home/apt,360,3,0,,,1,365
6075985,"3BR Hidden S Congress Gem, Austin",31148752,Bo,,78704,30.238782379276724,-97.74882408469536,Entire home/apt,229,1,0,,,5,337
295275,Stylish 3/2/2 with large backyard,1282837,Joseph,,78745,30.188435208638534,-97.78974968110505,Entire home/apt,240,2,29,2015-04-19,0.7,2,365
1655266,Clean Charming Peaceful One Bedroom,3540875,Jennifer,,78703,30.28266707840225,-97.75922794714081,Entire home/apt,120,2,1,2015-04-26,1,1,362
4149311,3BD/3BA - Modern AMAZING HOME,16425706,Lana,,78702,30.263519689808476,-97.70960713797463,Entire home/apt,485,2,3,2015-04-19,0.7,1,362
5685971,Cozy apt with private bath. ,29482363,Jacob,,78748,30.173425308956872,-97.80580075891297,Private room,199,1,0,,,1,365
1721437,Artistic Modern 2/2 Flat in Austin,1583284,Michelle,,78751,30.30392433265191,-97.7212906722512,Entire home/apt,125,2,13,2015-05-08,0.8,1,201
5601944,Private Room in East Austin,90630,Stephen,,78702,30.26220212680845,-97.70924969302746,Private room,50,1,1,2015-04-03,0.6,1,49
2261477,SXSW Lodging- Close to Downtown,11547976,Jennifer,,78746,30.25803509646976,-97.78846812276507,Entire home/apt,240,1,0,,,1,365
5511174,SXSW!!  So close!,28471749,Anne,,78741,30.229342219967773,-97.74147764644206,Shared room,100,1,1,2015-03-18,0.4,2,56
4279491,Modern Riverside/Boardwalk ACL,7850568,Antonio,,78741,30.24150961995003,-97.72611589115968,Entire home/apt,99,2,6,2015-05-12,0.9,2,330
4496516,Private Room w Bath Close to dwntwn,8472952,Andres,,78741,30.225503753550658,-97.74018829579394,Private room,45,2,4,2015-05-13,1.8,1,356
221353,The House of Songs- Old Travis Hgts,1148288,Troy,,78741,30.244079486354273,-97.7349582974359,Entire home/apt,400,1,1,2014-01-02,0.1,3,333
5667556,Treehouse Apartment,29382347,Lucia,,78741,30.232940099769728,-97.73610008868224,Entire home/apt,250,1,0,,,1,44
4047604,2 BD/2 BA w/ LOTS of Amenities!,3323899,Lindsey,,78741,30.247852174810554,-97.73487097728207,Entire home/apt,175,1,5,2015-03-29,0.7,9,107
1021139,Backyard Cottage in Central Austin,5620519,Steve,,78722,30.290870071858674,-97.71895143055637,Entire home/apt,85,1,177,2015-05-19,7.0,1,292
5651535,Master Bed and Bath ,29288580,Ashley,,78722,30.284051491848814,-97.7085368283925,Private room,50,1,0,,,2,365
5551307,Mid Century Modern - Central Austin,28780709,Joe And Barbara,,78703,30.282206322675872,-97.76752778465502,Private room,150,1,1,2015-03-21,0.5,1,365
1979797,"ACL, F1,SXSW Tarrytown 4bed/3.5bath",10217229,Abraham,,78703,30.290114001412345,-97.76949593910851,Entire home/apt,1250,3,2,2015-03-23,0.1,1,327
541814,Private room in cozy home-SW Austin,1912186,Sajni,,78749,30.220615306815798,-97.85833373570415,Private room,69,2,14,2015-05-03,0.5,1,360
5589962,Pretty large room with private bath,28705092,Beverly,,78749,30.21083028275172,-97.84646626696917,Private room,185,1,0,,,1,365
135178,Charming Home in Austin- Sleeps 4,197511,Christie,,78749,30.201804472684593,-97.84863097893994,Private room,200,1,1,2012-11-20,0.0,1,365
2532245,William Canon Casa,12968689,Jono,,78749,30.22422867218181,-97.84486125533338,Private room,100,1,0,,,1,365
5497500,Condo - Master Bedroom *SXSW*,28512505,Mark,,78749,30.225850896849256,-97.83850392754933,Private room,150,1,0,,,1,59
444295,"3 BR, 2 BA, Downtown Austin Condo",2207164,Matthew,,78702,30.25319756305977,-97.7356000560519,Entire home/apt,400,2,1,2013-03-12,0.0,1,264
3229626,Modern Home w/ Panoramic Patio View,5655904,Matt,,78702,30.272825235421568,-97.70321295878023,Entire home/apt,749,3,0,,,1,365
768730,Inn at the Old School,4055008,D'Ann,,78702,30.268441855222992,-97.72345572588652,Private room,135,2,12,2015-03-23,0.4,4,343
910236,Private Room #2 in Downtown Austin,3217620,Vic (Edward),,78702,30.267999001706823,-97.73008490908862,Private room,100,1,1,2013-04-15,0.0,3,0
76911,Chinquapin on Yoga Run,394012,Peter,,78702,30.267951590392585,-97.72685539218128,Entire home/apt,850,2,2,2015-05-03,1.4,1,353
6198247,Relaxed East Side Austin Home,7131064,Luis,,78702,30.26441449749378,-97.71787248699971,Private room,75,1,0,,,1,365
4504123,"*Private Suite w/Jacuzzi, Balcony*",23358388,Brent,,78702,30.258184031874023,-97.7243321165193,Private room,99,1,8,2015-04-21,1.4,6,265
734321,"Downtown East Austin Loft,1bd/1bth ",3827537,Guadalupe,,78702,30.27846796573774,-97.71865061459842,Private room,78,1,41,2015-03-17,1.3,1,295
3341224,Quaint Eastside Bungalow,15312298,Bree,,78702,30.266298908469746,-97.71641375219073,Entire home/apt,550,2,3,2015-03-20,0.4,1,176
326839,Eastside Treasure for SXSW ,1671318,Kelsey,,78702,30.260523986240592,-97.71214109342637,Entire home/apt,400,3,4,2015-03-19,0.1,1,365
4676746,3BR/2.5BA Modern Downtown Austin ,4641823,Erica,,78702,30.2637120462829,-97.71383430269627,Entire home/apt,999,2,0,,,140,65
728680,"Central Austin home, close to train",505903,Joanna,,78702,30.277281758853526,-97.70947815962674,Entire home/apt,125,3,17,2015-03-19,0.6,2,57
5532737,Eastside 2BR close to everything!,9209388,Angela,,78702,30.27221371041971,-97.71670649282711,Entire home/apt,200,2,1,2015-03-22,0.5,1,56
74637,Urban Loft in East Austin,393193,Shelley,,78702,30.259748572662517,-97.71601435271806,Entire home/apt,150,2,7,2015-03-23,0.1,2,319
6297341,"Downtown Farmhouse: Chickens, Bikes",880571,Angel,,78702,30.271238818309314,-97.7232492676747,Entire home/apt,250,2,0,,,7,344
2222997,East Austin Loft,8011518,Kate,,78702,30.25921631415075,-97.71645325240948,Entire home/apt,225,2,5,2015-03-24,0.3,1,56
314152,2 bdrm Condo at  360 Bridge,1614097,Denise,,78730,30.356719778147816,-97.79620866803532,Entire home/apt,350,4,0,,,1,365
727715,NEW Garage Apartment-Central Austin,3771151,Keri,,78731,30.309496670853466,-97.75256783204465,Entire home/apt,160,1,14,2015-04-12,0.8,1,360
5112773,Lakeside home w/ spectacular views,574218,Matthew,,78731,30.316454683677375,-97.77592867367244,Entire home/apt,1750,2,0,,,2,104
5600950,1BR Apartment ,10930927,John,,78745,30.219861487599925,-97.77222909954291,Entire home/apt,400,1,0,,,1,50
3542048,Creekside Oasis,5289153,Ashley,,78745,30.20788692521359,-97.77034347477635,Entire home/apt,200,1,0,,,1,0
934182,Recharging Zone in S. Austin,1872621,RAZ: Rebecca A. Z.,,78745,30.20168612438595,-97.81076594131162,Private room,50,1,3,2015-04-09,0.2,1,365
356521,nora'S ROOM  on nature preserve ,681301,Coleman,,78745,30.208537983213613,-97.77030932979693,Private room,36,2,20,2015-04-13,0.5,4,365
1384011,Cute & spacious bungalow in Austin,7492142,Josie,,78745,30.215132212330236,-97.8064867361501,Entire home/apt,700,3,0,,,1,123
5284932,Classic Convenient 3/2 South Austin,7939636,Amber & Jared,,78745,30.185429773690238,-97.78698210892118,Entire home/apt,300,2,0,,,1,344
4141322,Apartment available for for ACL,916736,Cavason,,78745,30.22165459627087,-97.79176756604782,Entire home/apt,150,1,0,,,1,222
