id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1810172,Room for 2 in Rozzie - Full Bath,8834105,Rebecca,,Roslindale,42.28208581195228,-71.1333486774579,Private room,62,1,15,2015-08-10,0.64,2,317
6976,Mexican Folk Art Haven in Boston,16701,Phil,,Roslindale,42.2924378866568,-71.13576525374667,Private room,65,3,32,2015-06-18,0.42,1,289
3075044,Charming room in pet friendly apt,2572247,Andrea,,Roslindale,42.286240821867416,-71.13437396457161,Private room,75,3,20,2015-09-15,1.22,1,365
4283698,Private 1 bedroom w/ kitchenette,333210,Gena & Leon,,Roslindale,42.28967076428995,-71.1372864086912,Entire home/apt,110,1,25,2015-09-13,2.09,1,271
4085362,"Sub""Urban"" Vacationing Rm 2",3164508,Marilyn,,Roslindale,42.281748516890026,-71.14031783726143,Private room,75,1,12,2015-09-27,1.03,2,365
225834,Skyline View to Boston,1176995,Duane,,Roslindale,42.28052812623618,-71.13084254103526,Private room,70,1,33,2015-09-17,0.68,2,346
7252607,Private Room near Public Transport,34552909,Barrie,,Roslindale,42.28280175042395,-71.11514509094087,Private room,49,5,2,2015-08-16,0.78,3,343
1936861,Private Room in Rozzie,10021116,Douglas,,Roslindale,42.28997231000651,-71.13614631892551,Private room,50,1,85,2015-09-28,4.00,1,351
225979,Cozy Room & Fresh Roasted Coffee,1176995,Duane,,Roslindale,42.2814520694321,-71.12925004404066,Private room,60,1,59,2015-09-09,1.20,2,349
2583074,Cozy room in a charming villa.,13226301,Mohamed,,Roslindale,42.27964781834151,-71.1360587290911,Private room,40,2,17,2015-08-22,1.24,2,308
6933545,Cozy Room On the Arnold Arboretum,15472064,Herb,,Roslindale,42.28885193835683,-71.13128217016344,Private room,68,1,25,2015-09-24,7.28,1,346
5434353,Quiet  Beauty in Boston,9658771,Anthony,,Roslindale,42.286264736208935,-71.13706513072117,Entire home/apt,145,3,1,2015-09-01,0.91,1,305
4025194,Queen Bed/Near Subway/Free Passes,1480518,Lisa,,Roslindale,42.293534924572626,-71.12071325042795,Private room,75,1,91,2015-10-01,7.07,4,146
1591827,PrivRoom+Bath In Roslindale/Boston,8491165,Jeff,,Roslindale,42.285560027126245,-71.1239986992945,Private room,60,2,105,2015-09-30,4.19,1,246
753446,6 miles away from downtown Boston!,3962517,Sami,,Roslindale,42.28587763920193,-71.12490955692161,Private room,58,1,7,2015-09-30,7,1,359
3755609,Lovely & Gracious Victorian room,19223882,Rosa,,Roslindale,42.27563719947966,-71.12480041713683,Private room,78,3,13,2015-09-21,1.02,1,360
5884429,"2 Rooms, Private Bath, AC -sleeps 4",15396970,Linda,,Roslindale,42.28657682901829,-71.13553645433956,Private room,180,1,9,2015-09-21,1.96,4,297
879929,Surround yourself with custom art!,4653380,Beth,,Roslindale,42.29151999170097,-71.13185776978565,Private room,90,1,41,2015-09-21,1.40,1,343
1494726,Cozy in Rozzie!,7506913,Maria Cecilia,,Roslindale,42.275715632046385,-71.13013942666514,Private room,89,3,6,2015-08-19,0.45,1,313
7651065,Come Home to Boston,15396970,Linda,,Roslindale,42.28451220982457,-71.1362580468337,Private room,79,1,6,2015-09-23,3.83,4,298
3420384,"Convient, Safe and Comfortable",431385,Cynthia,,Roslindale,42.27440801253166,-71.12529404441553,Private room,150,3,0,,,1,183
8473851,Private Room in Single Family Home,44625108,Jessica,,Roslindale,42.27493019121742,-71.13062800634724,Private room,50,1,0,,,1,172
1668313,Room in Rozzie-Twin Bed-Full Bath,8834105,Rebecca,,Roslindale,42.281941832424685,-71.13337190191741,Private room,55,1,12,2015-08-29,0.50,2,254
3575220,The Artist room in beautiful villa.,13226301,Mohamed,,Roslindale,42.2802789130541,-71.13586963457317,Private room,50,2,7,2015-08-31,0.53,2,274
4922204,Charming new house-15 min to Boston,6570877,Juliet,,Roslindale,42.28214228250037,-71.12904915306451,Entire home/apt,200,1,39,2015-09-25,5.09,3,328
1724900,Charming sunlit house in Boston,7723912,Fj,,Roslindale,42.282905456272054,-71.13267673899496,Entire home/apt,149,5,15,2015-08-08,0.64,1,309
849408,Perfect & Practical Boston Rental,4434391,Damon,,Roslindale,42.28882028358453,-71.13951010210121,Entire home/apt,249,4,26,2015-09-21,1.22,2,326
5759676,Perfect home away from home,151823,Phoebe,,Roslindale,42.27711788937072,-71.13889455061886,Entire home/apt,160,4,2,2015-07-28,0.81,1,156
3988018,Sports Room/Near Subway/Free Passes,1480518,Lisa,,Roslindale,42.29509532926418,-71.11863757185594,Private room,75,1,101,2015-09-28,7.73,4,140
6242681,Rozzie condo with art & Goldens,32407843,Molly,,Roslindale,42.28844700744465,-71.13624376646366,Private room,75,1,18,2015-09-29,3.91,1,132
5498472,"4BD/3.5BA, Perfect for families!",28518068,Colette,,Roslindale,42.27683095063724,-71.12955973831468,Entire home/apt,175,14,1,2015-07-24,0.42,1,0
7858329,Charming abode in Roslindale,41413949,Margaret,,Roslindale,42.28691511828942,-71.14285710370223,Private room,65,1,0,,,1,309
321328,Bright Room Near Roslindale Village,8302344,Dan,,Roslindale,42.292238240224194,-71.13449706289937,Private room,100,1,10,2015-08-20,0.25,1,344
7086825,Private Room near public transport,34552909,Barrie,,Roslindale,42.28228162657036,-71.11681747458199,Private room,49,5,2,2015-08-05,0.78,3,296
2843445,"Sub""Urban"" Vacationing Rm1",3164508,Marilyn,,Roslindale,42.28194609607024,-71.14102161135577,Private room,75,1,56,2015-09-27,3.33,2,356
6603827,Cozy private room near bus stop,34552909,Barrie,,Roslindale,42.28217038124361,-71.1164843137903,Private room,54,5,2,2015-08-18,0.72,3,311
6742139,Private Rm & Full Bath w Breakfast!,9495145,Carolyn,,Roslindale,42.28569541759212,-71.11494614824804,Private room,98,2,19,2015-09-29,5.76,1,348
6513924,Private room in spacious condo,16398126,Chris,,Roslindale,42.284561507299415,-71.11972634316602,Private room,55,1,15,2015-09-25,3.57,1,364
8339473,Roslindale Bedroom,15396970,Linda,,Roslindale,42.28656121596992,-71.13585236908415,Private room,89,1,1,2015-09-17,1,4,1
962610,Convenient Boston Hotel Alternative,4434391,Damon,,Roslindale,42.29024582458019,-71.13853219935801,Entire home/apt,119,3,21,2015-08-22,0.79,2,320
3229255,1bd apt - Convenient & quiet,16343599,Ella & Will,,Roslindale,42.287025610360985,-71.1335387879796,Entire home/apt,95,3,33,2015-09-05,2.31,1,331
894539,Private room in house ,4762495,Jennifer,,Roslindale,42.290903928902345,-71.13023771355206,Private room,95,1,34,2015-09-11,1.42,2,302
1861070,Charming Gambrel on a sweet street,8879967,Joanne,,Roslindale,42.27691292292999,-71.12823284429416,Private room,75,1,13,2015-09-02,0.74,1,365
3968797,Sunny bedroom in large quiet house,4762495,Jennifer,,Roslindale,42.29110718003285,-71.13133846374735,Private room,85,1,17,2015-09-01,2.82,2,293
6144896,Beautiful Loft Apt Close to MBTA,31875519,Hannah,,Roslindale,42.28980863029639,-71.12353314212704,Entire home/apt,37,1,15,2015-08-17,3.46,1,0
6400432,Spacious 3 bedroom cape cod style,23127285,Jesús,,Roslindale,42.27838291101699,-71.12878009724983,Entire home/apt,150,1,4,2015-08-23,2.07,1,270
4987859,Family home in Boston neighborhood,24840749,Joanna,,Roslindale,42.27754324291014,-71.12721243358759,Entire home/apt,150,3,4,2015-07-31,1.33,1,123
5706985,Lrg Studio apt 15 min train Boston,6570877,Juliet,,Roslindale,42.28138962623448,-71.13119041987277,Entire home/apt,100,1,9,2015-10-01,3.07,3,355
6069883,Roslindale -Private Room w/ AC,15396970,Linda,,Roslindale,42.28531408883604,-71.1357606440486,Private room,99,1,9,2015-09-16,1.97,4,273
8548176,Cute little house-15 min to Boston,6570877,Juliet,,Roslindale,42.27917609759368,-71.13277179664853,Entire home/apt,100,1,1,2015-09-27,1,3,347
5521378,Furnished bedroom in cozy JP condo ,25636575,Karin,,Jamaica Plain,42.31218573635401,-71.09970660144604,Private room,87,3,1,2015-07-01,0.32,1,75
7929693,Excellent Room in Jamiaca Plain,31760441,John,,Jamaica Plain,42.31080528907105,-71.10375180442973,Private room,87,2,1,2015-08-25,0.75,1,364
6911272,Steps from Arboretum and the T,20217303,Johanna,,Jamaica Plain,42.29909797524272,-71.11584122050331,Entire home/apt,200,6,3,2015-09-11,1.61,1,24
4054079,Private Ground Level Studio near T!,20912254,Dale And Liz,,Jamaica Plain,42.316546985697165,-71.10439539665927,Entire home/apt,110,2,18,2015-09-11,1.64,2,312
2219399,Sunny Private Room and Bath in JP,1624549,Andrew,,Jamaica Plain,42.30073404413557,-71.11431096653907,Private room,115,2,25,2015-09-28,1.47,1,343
3775876,Private room in Jamaica Plain!,11487565,Josefa,,Jamaica Plain,42.305142129994884,-71.10732685642546,Private room,114,1,8,2015-09-21,0.59,3,365
7823025,Private bedroom in heart of JP,4595799,Fivos,,Jamaica Plain,42.30970115849438,-71.11833423971592,Private room,91,1,3,2015-09-27,3,3,355
4586681,"Hidden Gem in Jamaica Plain, Boston",12795084,Lynne,,Jamaica Plain,42.314827484606575,-71.11295481151114,Private room,90,1,19,2015-09-30,3.26,1,354
6364042,Bright room with queen sized bed,987917,Helder,,Jamaica Plain,42.313623832199255,-71.09821200812918,Private room,75,1,8,2015-09-20,5.22,3,101
