id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
986942,Attic in Echo Park Hillside House,959023,Jonathan,,Elysian Valley,34.09932990615254,-118.24745353136473,Private room,69,1,17,2015-05-27,0.63,3,242
3249753, Art BNB @ Nomad Printmaking Studio,12772297,Damon & Lisa,,Elysian Valley,34.10076698953653,-118.24297292497346,Private room,99,1,2,2014-06-17,0.13,5,244
3250095,Art BNB @ nomaD Printmaking Studio ,12772297,Damon & Lisa,,Elysian Valley,34.102244147847486,-118.24300396485638,Private room,99,1,1,2014-06-16,0.07,5,244
3250595,Art BNB @ nomAd Printmaking Studio,12772297,Damon & Lisa,,Elysian Valley,34.1002561374965,-118.2446104123754,Private room,99,5,0,,,5,244
1941493,1915 L.A. River Retreat - Two Bed,10042199,Hope,,Elysian Valley,34.10512512103053,-118.25225453879418,Entire home/apt,115,3,32,2015-08-13,1.57,1,115
1637136,Private Silverlake 2-BDRM Bungalow,8692115,Helga,,Elysian Valley,34.10573393727728,-118.24570223022697,Entire home/apt,130,2,55,2015-08-28,2.35,1,197
5160212,5 min from DTLA w/Private Entrance,26686637,Marianne & Tony,,Elysian Valley,34.10398349531146,-118.2446410559738,Private room,59,1,3,2015-08-18,0.48,1,153
6013432,Lovely Elysian Valley home + patio,26961207,Katie,,Elysian Valley,34.099229799698705,-118.24629831168447,Entire home/apt,115,1,5,2015-07-28,1.39,1,168
181511,"Sunny, spacious apartment with deck",870087,Martineke,,Elysian Valley,34.10070706712406,-118.24998010188854,Entire home/apt,150,3,10,2015-07-10,0.21,2,319
6868731,Lusciously Landscaped 1928 House,35993895,Simona,,Elysian Valley,34.08782107540958,-118.2327261780992,Entire home/apt,125,7,1,2015-08-08,1,1,257
3251537,Art BNB @ nOmad Printmaking Studio,12772297,Damon & Lisa,,Elysian Valley,34.102239952263965,-118.24305860535023,Private room,99,1,0,,,5,244
5966791,Tranquil Château in Highland Park.,24164223,Nicole,,Eagle Rock,34.12730188727624,-118.20354483423789,Entire home/apt,100,3,12,2015-08-22,3.36,1,359
5709074,Sunset views and Swimming pool,1804039,Leia,,Eagle Rock,34.13787093489804,-118.19278229962694,Entire home/apt,350,7,1,2015-08-29,1,1,363
4987561,Hillside Retreat Master Suite,14649261,Judy,,Eagle Rock,34.128984677236886,-118.22848407685676,Private room,84,2,3,2015-05-19,0.49,1,262
2372985,BEAUTIFUL EAGLE ROCK BUNGALOW,12122495,Nathan,,Eagle Rock,34.12758549815626,-118.21775699522516,Entire home/apt,117,1,6,2015-08-16,0.32,1,312
4532509,Studio/Los Angeles/Close to Downtow,7229590,Carlos,,Eagle Rock,34.138749668604895,-118.21975370622755,Entire home/apt,80,2,13,2015-08-15,1.44,1,357
7095571,1920's Eagle Rock Apartment,37190671,Crystal,,Eagle Rock,34.13855430282934,-118.21811877892617,Entire home/apt,98,1,4,2015-08-10,2.67,1,365
6705472,Green Oasis near Pasadena and DTLA,1124337,Amy,,Eagle Rock,34.137400412059726,-118.19707993097927,Entire home/apt,210,4,4,2015-08-08,2.18,2,354
4882259,Private Floor/Porch in Modern Home,3301321,Nik,,Eagle Rock,34.13321729823416,-118.19924905503233,Private room,120,1,0,,,1,227
2130454,Totally Private Patio Room,7682551,Sylvia,,Eagle Rock,34.14105907149071,-118.1995391130894,Private room,60,2,24,2015-08-19,1.40,1,363
7698024,Full Apt In New Home...Amazing view,6759416,Mike,,Eagle Rock,34.13800805254594,-118.20796731302237,Entire home/apt,112,1,1,2015-08-30,1,2,340
689156,Beautiful views in Los Angeles!,3519527,Jerry,,Eagle Rock,34.13089621038904,-118.19914826294534,Private room,90,2,92,2015-08-18,2.63,2,292
3370378,Very quite and cozy 2 bedroom apart,13602319,Cristiana,,Eagle Rock,34.13233278312502,-118.20626348520103,Private room,45,1,5,2015-08-23,1.34,2,363
1651212,Original Guest House-see OtherList.,8278915,Cynthia,,Eagle Rock,34.13382905112632,-118.20333465289708,Private room,66,2,33,2015-01-06,1.39,2,365
4235227,Retro-Mod Airstream Private setting,21977385,Kelly,,Eagle Rock,34.147078269861765,-118.201377188934,Entire home/apt,80,1,3,2015-08-24,2.50,1,364
6277607,Charming private room,13655113,Gladys,,Eagle Rock,34.135016602754625,-118.19192407407802,Private room,70,1,0,,,1,365
3728100,"Eagle Rock, private peaceful room.",18931053,Bonnie And Gobind,,Eagle Rock,34.14365161237325,-118.20359528443726,Private room,75,1,13,2015-07-22,1.03,1,364
5568852,Urban Farm and Chef's Home,4274128,Terri,,Eagle Rock,34.129138358029024,-118.2031681750647,Private room,85,1,0,,,1,180
2546252,Eagle Rock! Tower of Awesome!,13037208,Marcus,,Eagle Rock,34.11932963438348,-118.22029733191923,Entire home/apt,300,4,28,2015-08-25,1.69,1,321
4766309,Hilltop hideaway in  Highland Park,4068852,Kevin,,Eagle Rock,34.131344483553974,-118.18370904021506,Entire home/apt,125,3,4,2015-08-13,0.48,1,0
185950,Super Private Suite with View & Spa,379113,Christopher,,Eagle Rock,34.12978739332381,-118.1958877605147,Entire home/apt,94,2,208,2015-08-26,4.40,1,140
7621465,Eagle Rock back house with a pool,8713925,Cynthia,,Eagle Rock,34.14706458201231,-118.20121024611082,Entire home/apt,120,2,2,2015-08-20,2,1,363
4744115,Sunny house in Eagle Rock with view,8302595,Arlene,,Eagle Rock,34.13877058527818,-118.22336617147988,Entire home/apt,150,5,0,,,1,246
4387025,LOVLY 2BD EAGLE ROCK COTTAGE & POOL,1780615,Sasha,,Eagle Rock,34.12725261896098,-118.22166519813716,Entire home/apt,150,3,6,2015-08-17,0.75,2,350
33449,Cozy Private Cottage Guest House 3,144855,Edwin Diego,,Eagle Rock,34.13642961059196,-118.19721745284559,Entire home/apt,58,1,91,2015-08-29,6.88,2,340
7332535,Eagle Rock Studio Sanctuary,38416668,John & Peter,,Eagle Rock,34.128266492280275,-118.20062672000876,Entire home/apt,90,1,14,2015-08-27,9.13,1,357
2446485,Charming bungalow in hip Eagle Rock,4380976,Melanie,,Eagle Rock,34.12523657266451,-118.22155792173096,Entire home/apt,68,2,96,2015-08-14,5.37,1,310
7200167,Big Eagle Rock California Craftsman,37701903,John,,Eagle Rock,34.13124586276562,-118.19671591142259,Entire home/apt,250,1,2,2015-08-09,1.50,1,35
1203955,Martha's Cottage ,1125561,Kimberley,,Eagle Rock,34.12885966021917,-118.19630055093518,Entire home/apt,95,3,14,2015-07-28,0.53,1,349
7516800,Beautiful big sunny home Eagle Rock,1134967,Josefine,,Eagle Rock,34.13223982134988,-118.19086946574063,Entire home/apt,95,5,0,,,1,46
7419376,Adorable Bungalow Home,1448514,Elizabeth And Lo,,Eagle Rock,34.131712824008105,-118.21759083203604,Entire home/apt,99,2,3,2015-08-21,2.31,1,362
7798730,MASTER BEDROOM - EAGLE ROCK COTTAGE,382693,Greta,,Eagle Rock,34.11842715507111,-118.21579174314071,Private room,70,1,0,,,2,27
1240037,Brand New room in LA - Eagle Rock,6759416,Mike,,Eagle Rock,34.137649190287746,-118.20783478794847,Private room,99,1,3,2015-04-09,0.55,2,337
3040265,Eclectic designer home - 3 bedrooms,3139988,Hildegun & Valle,,Eagle Rock,34.143097789315846,-118.1999699218705,Entire home/apt,214,4,5,2015-02-26,0.38,1,122
502172, Brand New Mid Century Refurbished ,2477978,Laura,,Eagle Rock,34.12634351050799,-118.22380560119839,Entire home/apt,200,7,5,2015-02-02,0.14,1,365
4060723,The Studio Dream,21062314,Zeferino,,Eagle Rock,34.135530325055804,-118.19377188437997,Entire home/apt,80,1,0,,,1,256
6146998,"Single house downtown LA, cheap",31696789,Leon,,Eagle Rock,34.1344240272922,-118.22003219111829,Entire home/apt,70,1,4,2015-07-05,1.00,1,364
718298,Eagle Rock near Rose Bowl (L.A.),3704495,Sara,,Eagle Rock,34.1326429182433,-118.20135336752351,Entire home/apt,125,3,1,2013-01-03,0.03,1,321
712183,Beautiful Clean House In Artsy LA!!,2222064,Jenny,,Eagle Rock,34.12645244050808,-118.22096232615183,Entire home/apt,150,1,23,2015-07-30,0.71,2,363
6045672,Private Retro Occidental Studio,2457327,Amanda,,Eagle Rock,34.12455817892854,-118.21302587899505,Entire home/apt,99,1,20,2015-08-31,4.62,1,318
3792210,Hillside Eagle Rock Home,3404824,Dax And Ashley,,Eagle Rock,34.12081061867528,-118.21705411350467,Entire home/apt,149,14,2,2014-11-18,0.19,1,333
2845318, Charming Forest Hillside Home,14547218,Sarah & Jaime,,Eagle Rock,34.11654250079674,-118.21488115648,Entire home/apt,125,5,21,2015-07-31,1.33,1,343
7771644,Apt w/ Big Backyard in Eagle Rock,16095739,Mieke,,Eagle Rock,34.13160030618042,-118.21367389483673,Entire home/apt,78,1,2,2015-08-12,2,1,0
6013365,The Treehouse - Outdoor LA Living!,1191154,Kathleen,,Eagle Rock,34.12826502556035,-118.20262457873915,Entire home/apt,185,3,2,2015-08-02,1.13,10,70
7732967,LA Highland Park 2bdrm Entire Home,9070537,Freddy,,Eagle Rock,34.12671734399481,-118.2042676863293,Entire home/apt,100,3,0,,,5,64
3289960,Big Sunny 1BD Apt w/Parking & Yard!,537523,Angela,,Eagle Rock,34.13741003647863,-118.19123620166108,Entire home/apt,99,2,25,2015-07-27,1.71,1,65
7583336,Artists retreat in Highland Park,25848222,Ashley,,Eagle Rock,34.120307402425624,-118.21478539918286,Entire home/apt,130,2,1,2015-08-18,1,2,344
3291844,Historic Charm-Downtown / Rose Bowl,2127973,Roger,,Eagle Rock,34.14124725003686,-118.20820117989281,Entire home/apt,200,2,0,,,1,365
3391214,South West Pasadena - Room - PRVT,16220414,Arturo,,Eagle Rock,34.13326782144468,-118.18853726327436,Private room,42,3,71,2015-08-28,4.99,4,35
5383191,Spacious 1BR w/ queen bed + futon,535622,Alicia,,Eagle Rock,34.12533020125584,-118.20484058827947,Private room,45,1,0,,,1,171
7618153,Backyard trailer in Highland Park!,10079109,Lydia,,Eagle Rock,34.12277209823357,-118.20880419726235,Private room,48,1,1,2015-08-07,1,1,2
5783492,Big room + private kitchen/bathroom,30003401,Angela,,Eagle Rock,34.14025239186505,-118.21307159050909,Private room,85,1,1,2015-08-08,1,1,39
5212656,Contemporary Japanese Luxury Suite,26966727,Michael,,Eagle Rock,34.13672125004377,-118.21373575956628,Private room,85,3,0,,,1,363
6851340,Hillside house w/backyard forest,21474482,Joseph,,Eagle Rock,34.14334846682263,-118.20928035758949,Entire home/apt,195,1,8,2015-08-23,4.00,3,360
7603074,Best Place to Stay in L.A. :),35252994,Michelle,,Eagle Rock,34.13743170637399,-118.19824412834325,Private room,105,2,2,2015-08-29,2,1,353
7546286,North Los Angeles - PRVT - 2nd flr,16220414,Arturo,,Eagle Rock,34.13372289007232,-118.18839340607722,Private room,36,3,3,2015-08-26,3,4,30
4134377,Beautiful California Bungalow,21448083,Sally,,Eagle Rock,34.13611373568672,-118.19846476569424,Entire home/apt,225,3,4,2015-06-30,0.81,1,354
5050891,Private Room in Eagle Rock House,3615231,Josh,,Eagle Rock,34.13776448182972,-118.20326358278349,Private room,65,1,3,2015-08-15,1.34,2,358
1970816,Rose Bowl adjacent 1 bdrm Hideaway,10176439,Dean,,Eagle Rock,34.138270330328965,-118.19639681786305,Entire home/apt,80,2,2,2014-02-24,0.10,1,186
925423,2 bedroom Charming Duplex,2755825,Yoon,,Eagle Rock,34.11850283766511,-118.21830782644423,Private room,130,1,0,,,1,365
