id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4986792,Ladd's  Addition Heart of the City!,9165660,Cynthia,,Hosford-Abernethy,45.50621805553339,-122.64781590208491,Private room,112,2,12,2015-08-31,2.93,1,355
3883718,Modern studio in trendy SE ,13686663,Mallory,,Hosford-Abernethy,45.508432051530896,-122.6531416114454,Entire home/apt,99,1,38,2015-08-27,3.65,1,291
7092722,"Casita Sarita,  Your Urban Escape!!",13322905,Sarah,,Hosford-Abernethy,45.50419679677104,-122.65364379763365,Entire home/apt,103,1,13,2015-08-21,6.29,1,331
4475369,SE 27th at 27th and Clinton,4006487,Kathleen,,Hosford-Abernethy,45.50257910628109,-122.63990889923684,Private room,111,5,1,2015-08-05,1,2,178
5904142,Dining District Jewel,19052765,Melanie & Dirk,,Hosford-Abernethy,45.50060297140367,-122.6408580732822,Private room,79,1,30,2015-08-29,6.98,1,322
2455288,Historic Ladd's Addition Beauty,11021785,Amy,,Hosford-Abernethy,45.50491715807514,-122.64333162374209,Entire home/apt,325,4,9,2015-08-11,0.62,1,55
6131755,MakerFlat- a Living PDX Gallery,12759153,Bryan+Jen,,Hosford-Abernethy,45.504799048422306,-122.64021188923248,Entire home/apt,269,3,15,2015-08-30,4.50,2,340
7989338,SE Portland Clinton/Division 2 bdrm,38155723,Cynthia,,Hosford-Abernethy,45.499797861749535,-122.64421791708688,Entire home/apt,159,2,0,,,1,79
3987092,"City Gem ~ Quiet, Private, Central",20666601,Susan Rae,,Hosford-Abernethy,45.50208222718298,-122.64582945173923,Entire home/apt,85,1,64,2015-08-31,5.23,1,299
5618418,Jazz Musician's Loft,29047180,Morgan,,Hosford-Abernethy,45.50438514728527,-122.65062022220444,Entire home/apt,175,1,5,2015-08-30,4.69,1,256
6121504,Gorgeous and Cozy 1-Bedroom Loft,20294653,EmiLion,,Hosford-Abernethy,45.50905900973474,-122.65547770866506,Entire home/apt,155,1,10,2015-08-17,2.63,1,336
3283695,"Fantastic space, ideal location!",16596426,Tara And Laurel,,Hosford-Abernethy,45.5074309638981,-122.64651088424918,Entire home/apt,105,3,10,2015-08-26,0.80,1,326
4310634,Gorgeous Ladd's Addition Home ,22350667,Sally,,Hosford-Abernethy,45.50956482394908,-122.64769988969661,Entire home/apt,165,2,10,2015-07-20,1.02,1,319
7422143,S.E. Portland Division/Clinton,18830,Dosia,,Hosford-Abernethy,45.50328039896234,-122.65012425246023,Private room,65,2,10,2015-08-28,7.89,2,347
7790240,Charming on 21st and Clinton,16113117,Kristen,,Hosford-Abernethy,45.50019450890422,-122.64513884575842,Entire home/apt,175,3,2,2015-08-20,2,3,331
3543983,3bd Classic Portland Style - walk!,7168862,Rachael,,Hosford-Abernethy,45.50518923767805,-122.64049132216549,Entire home/apt,175,2,43,2015-08-23,3.27,1,323
3425854,"New Eco Cottage, Great Location",16835930,Brent,,Richmond,45.5102142244853,-122.61855373070314,Entire home/apt,135,2,66,2015-08-19,4.69,1,332
2380024,Sunlit Room in Hawthorne District,553760,Jamie And Andrew,,Richmond,45.5118039675876,-122.61544138996918,Private room,60,1,65,2015-08-09,3.53,1,331
3697076,Walk to the Hottest Restaurants,2469162,Nancy,,Richmond,45.503223394935375,-122.63417741416708,Entire home/apt,135,5,1,2015-08-24,1,1,331
4901024,"Hawthorne Hacienda Suite, Portland",25227726,Christine,,Richmond,45.51068252409938,-122.63530215675932,Entire home/apt,95,2,28,2015-08-20,4.08,1,335
3013504,Condo off Division St. 1 BR monthly,361531,Louise,,Richmond,45.50523938983625,-122.61134564997496,Entire home/apt,75,27,0,,,1,130
3280703,"Cottage, Roses, White Picket Fence",16581380,Joe,,Richmond,45.50905327770369,-122.62294685917163,Entire home/apt,126,1,20,2015-07-17,1.60,1,152
3076204,Bungalow in the filet of the SE,15656631,Stefan,,Richmond,45.50966420951902,-122.63504236486912,Entire home/apt,100,2,27,2015-05-10,1.80,1,0
4684661,Charming quiet bohemian getaway!,24223207,Catherine,,Richmond,45.49981737771566,-122.62814218298844,Private room,128,1,40,2015-08-20,5.17,1,348
3898216,SE Portland Richmond Private Studio,20180480,Martin And Grace,,Richmond,45.50100902977655,-122.62233886207895,Entire home/apt,95,2,75,2015-08-31,6.03,1,340
4720782,Charming SE Hawthorne Apartment,11452620,Mago,,Richmond,45.51128021256433,-122.63331517302477,Entire home/apt,125,2,9,2015-08-10,1.65,1,237
2072195,Heart of Hip Hawthorne,1118941,Bob & Chelsea,,Richmond,45.510354774985665,-122.62879369555876,Private room,65,2,11,2015-08-24,5.50,1,8
7245156,City Chic in PDX's Hottest Hood,1825887,Danielle,,Richmond,45.50836996235077,-122.61407802233116,Entire home/apt,150,1,2,2015-08-02,1.30,2,331
7729130,Magic Barn,26822355,"Todji, Gisele And Tessa",,Richmond,45.50802202579356,-122.62212948359547,Entire home/apt,114,1,3,2015-08-23,3,1,328
