id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3124507,"Great view to mountains,lake,trails",15870464,Monique,Eastlake Vistas,32.63718313206056,-116.93475188940502,Private room,90,2,3,2014-07-28,0.22,3,360
3432507, 2 bedrooms with shared bath,15870464,Monique,Eastlake Vistas,32.63759388074879,-116.93573742101118,Private room,150,2,1,2014-07-15,0.08,3,365
6834079,Amazing Home for Everyone,14058788,Alfonso,Eastlake Vistas,32.64162685210391,-116.94042411619998,Private room,55,3,0,,,2,360
877473,Private Bedroom in Newer Home,4636507,Cristina,Eastlake Vistas,32.638284937291864,-116.93976159634887,Private room,70,2,16,2015-06-28,0.67,1,337
3249729,Near to Olympic Training center,15870464,Monique,Eastlake Vistas,32.63758801738468,-116.93495940725289,Private room,80,2,2,2014-09-02,0.18,3,360
6424499,1 Room in Chula Vista/San Diego CA,16598364,Myrna,Eastlake Woods,32.65727938959151,-116.94477348205955,Private room,59,1,0,,,2,363
3283980,1 Room in Chula Vista/San Diego CA,16598364,Myrna,Eastlake Woods,32.65705110614978,-116.94446619133073,Private room,70,1,3,2014-08-26,0.27,2,361
6361816,"Full House with Pool, S San Diego",33079897,Eliseo,Estlake Greens,32.635494845262606,-116.95227267439542,Entire home/apt,188,4,1,2015-06-19,1,1,75
5285136,Family Vacation Home With Game Room,27050514,Maribel,Lynwood Hills,32.633651656546,-117.03143722285934,Entire home/apt,350,3,0,,,1,4
5325062,South SD Family Style Living,27589089,Ash,Lynwood Hills,32.630014055933124,-117.0339420845728,Private room,63,1,2,2015-06-20,0.44,1,362
3870498,Private room in Otay Ranch,19931573,Greg And Lorraine,Otay Ranch,32.62938380425252,-116.99737807724507,Private room,49,2,26,2015-06-22,2.54,3,304
6055788,Beautiful home in South San Diego,29524174,Nicole,Otay Ranch,32.6213877055104,-117.00073027532014,Entire home/apt,229,4,0,,,1,71
6627572,CommPool/Large Home/Family vibe,34525176,Quinn,Otay Ranch,32.62765052002501,-116.99312923166185,Private room,65,1,1,2015-06-16,1,1,363
3861983,Deluxe Private room in Otay Ranch ,19931573,Greg And Lorraine,Otay Ranch,32.628195221333456,-116.99718923692558,Private room,59,2,12,2015-06-22,1.17,3,298
4747661,Private Room in resort like condo!,24503987,Cynthia,Otay Ranch,32.622773093072645,-116.9608639895398,Private room,59,1,13,2015-06-14,3.68,1,349
4617296,Private Room With A 5 Star View,14058788,Alfonso,Otay Ranch,32.6188994803665,-116.95699499647513,Private room,59,1,2,2015-05-25,0.76,2,362
5560996,Room in Chula Vista,28829612,Rebeca,Otay Ranch,32.623839192564304,-116.96891028265911,Private room,75,1,0,,,1,362
4997701,Bright & Spacious Private Rm/Bth,2612268,Gigi,Otay Ranch,32.61754604805623,-116.95667152303525,Private room,72,2,1,2015-05-30,0.77,3,176
2794945,Private Guest Bedroom in Eastlake,13851050,Andrew,Otay Ranch,32.62402938429474,-116.95732217998746,Private room,70,1,5,2015-01-13,0.43,1,324
1438332,"Private room w/bath, near Olympics",5488607,Soley,Otay Ranch,32.634598148478005,-116.9840848479184,Private room,65,1,10,2015-06-14,0.56,1,340
6133627,"Beautiful, Fam Friendly Otay Ranch!",31820169,Dewan,Otay Ranch,32.62771188494643,-116.9745045543974,Entire home/apt,229,2,1,2015-06-30,1,1,341
5077385,Big and Bright townhome,2612268,Gigi,Otay Ranch,32.617235442284304,-116.95531383942473,Entire home/apt,225,2,1,2015-02-07,0.21,3,78
