id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3269390,Stand alone Guest Cottage,12171359,Diane,Queen Anne,West Queen Anne,47.632562742655686,-122.36722284674143,Entire home/apt,125,3,50,2015-06-28,3.98,1,291
2746782,Suite Garage close to downtown ,4016632,Jean-Marc,Queen Anne,West Queen Anne,47.64105215050513,-122.37508173306394,Entire home/apt,110,2,78,2015-06-30,5.32,5,287
762029,Hand crafted Gypsy Wagon with heart,4016632,Jean-Marc,Queen Anne,West Queen Anne,47.64152492560981,-122.37615037245081,Private room,75,2,161,2015-07-03,4.96,5,298
6004058,LOWER QUEEN ANNE STUDIO W/PATIO,9031463,Marina,Queen Anne,West Queen Anne,47.628343869748115,-122.36640542137962,Entire home/apt,135,1,6,2015-06-28,2.25,1,55
4933447,"Private Garden Suite, Bay View",25417834,Markus And Melissa,Queen Anne,West Queen Anne,47.64064587578452,-122.37240588895553,Private room,89,2,17,2015-06-30,4.51,1,124
2493658,Airy + Bright Queen Anne Apartment,5177328,Andrea,Queen Anne,West Queen Anne,47.63749172022628,-122.36688859092119,Entire home/apt,175,3,13,2015-01-02,0.89,5,325
4566393,Beautiful West Queen Anne Craftsman,23669617,Irmela,Queen Anne,West Queen Anne,47.63532192210432,-122.36612114800725,Entire home/apt,400,2,0,,,1,203
3544550,VIEW-Lovely Brick Home-New listing!,16708587,Jill,Queen Anne,West Queen Anne,47.63139734518299,-122.36776687067899,Entire home/apt,475,2,0,,,2,110
1422036,Modern 2BD home in Queen Anne,6971200,Liz,Queen Anne,West Queen Anne,47.63680714319482,-122.36335212710269,Entire home/apt,275,2,23,2015-06-14,0.98,1,265
3308979,New Modern House-Amazing water view,16708587,Jill,Queen Anne,West Queen Anne,47.629724131577355,-122.3694831756176,Entire home/apt,650,4,12,2015-07-08,1.04,2,207
6727420,Modern Apartment Next to the Water,2772151,Son Ca,Queen Anne,West Queen Anne,47.62620170220662,-122.36612701951339,Entire home/apt,145,1,1,2015-06-15,1,1,6
4520099,Open Airy Queen Anne Condo,6184895,Lana,Queen Anne,West Queen Anne,47.63981586823574,-122.37433846349177,Entire home/apt,195,2,1,2015-01-04,0.16,1,190
5956968,Private unit in a 1920s mansion,326758,Andrew,Queen Anne,West Queen Anne,47.63052548240193,-122.36617406518855,Private room,100,1,1,2015-06-11,1,1,343
6424982,Peaceful Queen Anne Getaway,33524725,Ruth,Queen Anne,West Queen Anne,47.63140094589966,-122.3676901333062,Private room,80,1,7,2015-06-27,5.68,1,308
6141724,Queen Anne studio w/ room for 3,31546506,Rachel,Queen Anne,West Queen Anne,47.63407595555383,-122.37138560334643,Private room,120,1,0,,,1,29
3317944,Great View near Seattle Center!,16751697,Lauryn,Queen Anne,West Queen Anne,47.63660848283595,-122.37212783766526,Private room,55,1,7,2014-11-08,0.62,1,307
4948745,Urban Charm || Downtown || Views,2166277,Aliza,Queen Anne,West Queen Anne,47.63241029982899,-122.35721606914029,Private room,90,3,1,2015-06-22,1,1,287
2943811,A view of all of Seattle,15028469,Eva,Queen Anne,West Queen Anne,47.62822386993468,-122.36477824026355,Private room,102,3,57,2015-06-25,4.16,1,55
3033190,Private Basement Room + Bath,428731,Callie,Queen Anne,West Queen Anne,47.637696216836915,-122.3629707535333,Private room,70,2,12,2015-06-29,6.55,1,299
856550,Tiny Garden cabin on Queen Anne  ,4016632,Jean-Marc,Queen Anne,West Queen Anne,47.64016054121466,-122.37585597885769,Private room,75,2,143,2015-07-08,4.67,5,319
1909058,Queen Anne Private Bed and Bath,2497928,Gary And Beth,Queen Anne,West Queen Anne,47.63660544532006,-122.36851905844937,Private room,80,3,42,2015-07-03,2.38,1,296
1392332,Modern Eco-Friendly View Retreating,2315558,Holly,Queen Anne,West Queen Anne,47.63868624334983,-122.37079986877468,Entire home/apt,350,2,39,2015-06-29,1.64,1,252
5062445,Cozy Homebase Close to Downtown,21072725,Chris,Queen Anne,West Queen Anne,47.63497873047923,-122.35886941246473,Private room,70,1,3,2015-06-16,1.61,1,308
2481869,Airy + Bright Queen Anne Cottage,5177328,Andrea,Queen Anne,West Queen Anne,47.63900777818944,-122.36532007300231,Entire home/apt,200,3,23,2015-07-07,1.58,5,313
241032,Stylish Queen Anne Apartment,956883,Maija,Queen Anne,West Queen Anne,47.636289038357184,-122.37102519997765,Entire home/apt,85,1,176,2015-06-27,3.92,2,276
175576,Private Apartment - Queen Anne Hill,239585,Ray & Eileen,Queen Anne,West Queen Anne,47.63548170841016,-122.35847776162176,Entire home/apt,90,2,152,2015-07-03,3.15,1,110
953595,Bright & Airy Queen Anne Apartment,5177328,Andrea,Queen Anne,West Queen Anne,47.63912312136253,-122.36566646439582,Entire home/apt,175,3,29,2015-06-27,1.26,5,326
6291829,Grand Craftsman Home on Queen Anne,32713558,Kary,Queen Anne,West Queen Anne,47.63602477658138,-122.35869359564737,Entire home/apt,600,3,0,,,1,199
1686930,The Hideaway- Queen Anne/downtown,8916363,Paige,Queen Anne,West Queen Anne,47.62981553345287,-122.36621233485974,Entire home/apt,149,1,50,2015-06-27,2.36,1,279
5680462,Gorgeous 4000 sf Home on Queen Anne,22372266,Sarah,Queen Anne,West Queen Anne,47.63920265551509,-122.36586274154311,Entire home/apt,500,2,3,2015-06-25,3,2,305
4454295,Upper Queen Anne Craftsman House,4606439,Nadia,Queen Anne,West Queen Anne,47.63721407513561,-122.3600457614146,Entire home/apt,99,3,5,2015-06-29,2.59,1,186
3883392,Open Plan 2bdr/1bath in Queen Anne,19932967,Roberta & Pat,Queen Anne,West Queen Anne,47.63554551151239,-122.37317075183506,Entire home/apt,240,3,6,2015-06-28,0.75,1,310
5021081,Seattle Queen Anne Beauty,25906186,Vacation,Queen Anne,West Queen Anne,47.638121486971116,-122.37578997278469,Entire home/apt,360,3,0,,,1,318
278830,Charming craftsman 3 bdm house,1452570,Emily,Queen Anne,West Queen Anne,47.63291840276724,-122.37247063402224,Entire home/apt,450,1,31,2015-06-29,0.85,2,320
6783394,GORGEOUS*DOWNTOWN*NEW AMAZING LOFT,1623580,Scott,Queen Anne,West Queen Anne,47.62612787319413,-122.36647090999425,Entire home/apt,175,1,0,,,3,341
4218733,Walker's Dream on Queen Anne Hill,21896205,Henry,Queen Anne,West Queen Anne,47.63800137747846,-122.36100481691408,Entire home/apt,130,2,41,2015-06-20,4.64,1,307
3200646,Micro Gypsy Wagon close to downtown,4016632,Jean-Marc,Queen Anne,West Queen Anne,47.63926602026095,-122.37472581108145,Private room,75,2,52,2015-06-25,4.31,5,326
6361863,Located in the heart of Queen Anne,25150356,Kurt & Anna,Queen Anne,West Queen Anne,47.63751734544927,-122.36081167446434,Entire home/apt,175,2,2,2015-06-27,1.25,1,187
6362362,Charming home on Queen Anne,33147763,Tracy,Queen Anne,West Queen Anne,47.63851671212965,-122.36958103291498,Entire home/apt,500,3,0,,,1,33
