,<built-in function id>,pop10
0,1,"      18,338"
1,2,"      47,378"
2,3,"      12,174"
3,4,"      20,464"
4,5,"      16,160"
5,6,"      17,318"
6,7,"      23,895"
7,8,"      13,560"
8,9,"      11,588"
9,10,"      11,986"
10,11,"      12,216"
11,12,"      15,550"
12,13,"      18,558"
13,14,"      11,713"
14,15,"      12,829"
15,16,"       3,957"
16,17,"      19,455"
17,18,"      39,924"
18,19,"      13,206"
19,20,"       8,875"
20,21,"      19,481"
21,22,"       8,459"
22,23,"      14,510"
23,24,"      11,723"
24,25,"      29,295"
25,26,"      20,909"
26,27,"       5,705"
27,28,"       4,876"
28,29,"       2,445"
29,30,"       6,573"
30,31,"      14,500"
31,32,"      13,008"
32,33,"      14,888"
33,34,"      14,963"
34,35,"       7,688"
35,36,"       7,572"
36,37,"       8,071"
37,38,"       9,710"
38,39,"      30,959"
